OBJECTID,EVENT_UNIQUE_ID,OCC_DATE,OCC_YEAR,OCC_MONTH,OCC_DOW,OCC_DAY,OCC_DOY,OCC_HOUR,REPORT_DATE,REPORT_YEAR,REPORT_MONTH,REPORT_DOW,REPORT_DAY,REPORT_DOY,REPORT_HOUR,DIVISION,LOCATION_TYPE,PREMISES_TYPE,BIKE_MAKE,BIKE_MODEL,BIKE_TYPE,BIKE_SPEED,BIKE_COLOUR,BIKE_COST,STATUS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,LONG_WGS84,LAT_WGS84,x,y
9175,GO-20169010464,9/14/2016 4:00:00 AM,2016,September,Wednesday,14,258,16,9/14/2016 4:00:00 AM,2016,September,Wednesday,14,258,21,D54,Ttc Subway Station,Transit,RM,2015,RG,27,RED,1100,STOLEN,THEFT UNDER,066,Danforth (66),066,Danforth (66),-79.33763521576,43.6812377881639,-8831825.1529876,5416244.78343268
9176,GO-20169010437,9/12/2016 4:00:00 AM,2016,September,Monday,12,256,19,9/14/2016 4:00:00 AM,2016,September,Wednesday,14,258,14,D32,"Apartment (Rooming House, Condo)",Apartment,OT,SIRRUS SPECIALI,RG,99,BLK,500,STOLEN,THEFT UNDER - BICYCLE,037,Willowdale West (37),037,Willowdale West (37),-79.412893072559,43.7692692888757,-8840202.81930704,5429805.22654753
9177,GO-20169010427,9/11/2016 4:00:00 AM,2016,September,Sunday,11,255,2,9/14/2016 4:00:00 AM,2016,September,Wednesday,14,258,14,D51,"Commercial Dwelling Unit (Hotel, Motel, B & B, Short Term Rental)",Commercial,OT,ROADBIKE,TO,21,GRY,400,STOLEN,THEFT UNDER,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3746276486269,43.6504767895804,-8835943.13179237,5411511.02686385
9178,GO-20169010426,9/9/2016 4:00:00 AM,2016,September,Friday,9,253,17,9/14/2016 4:00:00 AM,2016,September,Wednesday,14,258,17,D55,"Apartment (Rooming House, Condo)",Apartment,GT,,MT,21,GRY,500,STOLEN,THEFT UNDER,063,The Beaches (63),063,The Beaches (63),-79.3057916359695,43.6687556084134,-8828280.34187697,5414323.62995707
9179,GO-20161634363,9/14/2016 4:00:00 AM,2016,September,Wednesday,14,258,9,9/14/2016 4:00:00 AM,2016,September,Wednesday,14,258,12,D52,"Apartment (Rooming House, Condo)",Apartment,TREK,9.0,MT,14,BLK,8000,STOLEN,THEFT OVER - BICYCLE,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.390665640027,43.6524201915239,-8837728.47278383,5411810.02185354
9180,GO-20161634185,8/30/2016 4:00:00 AM,2016,August,Tuesday,30,243,5,9/14/2016 4:00:00 AM,2016,September,Wednesday,14,258,11,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,VOLT,SPYDER,SC,1,BGE,1500,STOLEN,THEFT OF MOTOR VEHICLE,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.3801027493832,43.6636958027995,-8836552.61713641,5413544.98059826
9181,GO-20161633858,9/6/2016 4:00:00 AM,2016,September,Tuesday,6,250,22,9/14/2016 4:00:00 AM,2016,September,Wednesday,14,258,10,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,GT,AGGRESSOR,MT,21,BLK,439,STOLEN,THEFT UNDER - BICYCLE,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3776869503461,43.6617527008565,-8836283.69162187,5413245.97562103
9182,GO-20169010406,9/13/2016 4:00:00 AM,2016,September,Tuesday,13,257,10,9/14/2016 4:00:00 AM,2016,September,Wednesday,14,258,8,D14,Bar / Restaurant,Commercial,GI,CITY ESCAPE,RG,8,GRY,0,STOLEN,THEFT UNDER,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.3951501356816,43.6454480845518,-8838227.68459502,5410737.39879536
9183,GO-20161644098,9/13/2016 4:00:00 AM,2016,September,Tuesday,13,257,9,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,20,D55,"Private Property Structure (Pool, Shed, Detached Garage)",Other,GF,KOBIA,MT,10,DBL,1200,STOLEN,B&E,062,East End-Danforth (62),062,East End-Danforth (62),-79.2932126543586,43.6815893338752,-8826880.05600603,5416298.89625967
9184,GO-20161644651,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,19,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,22,D55,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,DIADORA,TRACCIA,MT,21,BLK,400,STOLEN,THEFT UNDER - BICYCLE,068,North Riverdale (68),068,North Riverdale (68),-79.3445440023476,43.6781140672622,-8832594.23552712,5415763.96874942
9185,GO-20161639294,9/14/2016 4:00:00 AM,2016,September,Wednesday,14,258,22,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,8,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,TREK,1.0 SERIES,RG,21,WHIBLK,900,STOLEN,THEFT UNDER - BICYCLE,080,Palmerston-Little Italy (80),080,Palmerston-Little Italy (80),-79.4247601255587,43.6597759071332,-8841523.85360421,5412941.79604151
9186,GO-20161636563,9/11/2016 4:00:00 AM,2016,September,Sunday,11,255,11,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,8,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,GIANT,ESCAPE,OT,1,,633,STOLEN,THEFT UNDER - BICYCLE,166,St Lawrence-East Bayfront-The Islands (166),077,Waterfront Communities-The Island (77),-79.3790877444954,43.6459171850208,-8836439.62729666,5410809.56352826
9187,GO-20169010477,9/12/2016 4:00:00 AM,2016,September,Monday,12,256,8,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,10,D52,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,DAILY 1,RG,1,BLK,600,STOLEN,THEFT UNDER,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),-79.3967980354919,43.6500788891982,-8838411.12787258,5411449.81045752
9188,GO-20169010481,9/13/2016 4:00:00 AM,2016,September,Tuesday,13,257,9,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,11,D55,Schools During Supervised Activity,Educational,RA,REDUX 1 SMALL,TO,8,BLK,690,STOLEN,THEFT UNDER,065,Greenwood-Coxwell (65),065,Greenwood-Coxwell (65),-79.3233146284945,43.67958800483,-8830230.99242358,5415990.83961569
9189,GO-20161639807,9/11/2016 4:00:00 AM,2016,September,Sunday,11,255,21,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,8,D53,"Private Property Structure (Pool, Shed, Detached Garage)",Other,GIANT ROAM,XR1,MT,18,BRZ,1099.94995117188,STOLEN,THEFT UNDER - BICYCLE,103,Lawrence Park South (103),103,Lawrence Park South (103),-79.4027446337059,43.7159007820015,-8839073.10024521,5421581.92075009
9190,GO-20161615608,9/10/2016 4:00:00 AM,2016,September,Saturday,10,254,0,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,11,D53,"Private Property Structure (Pool, Shed, Detached Garage)",Other,TREK,7.3 FX 22.5,RG,10,BLK,750,STOLEN,THEFT UNDER - BICYCLE,103,Lawrence Park South (103),103,Lawrence Park South (103),-79.4203172099759,43.7131495704222,-8841029.27045746,5421158.19784041
9191,GO-20161641995,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,13,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,14,D11,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OTHER,FIX GEAR,OT,1,BLK,450,STOLEN,THEFT UNDER - BICYCLE,089,Runnymede-Bloor West Village (89),089,Runnymede-Bloor West Village (89),-79.4848085165542,43.6656092560253,-8848208.40991329,5413839.43263841
9192,GO-20161644098,9/13/2016 4:00:00 AM,2016,September,Tuesday,13,257,9,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,20,D55,"Private Property Structure (Pool, Shed, Detached Garage)",Other,DEVINCI,,RG,0,BLKRED,2200,STOLEN,B&E,062,East End-Danforth (62),062,East End-Danforth (62),-79.2932126543586,43.6815893338752,-8826880.05600603,5416298.89625967
9193,GO-20161672270,9/6/2016 4:00:00 AM,2016,September,Tuesday,6,250,8,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,15,D43,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,JAMIS,HELIX,MT,21,WHIPLE,,STOLEN,THEFT UNDER - BICYCLE,134,Highland Creek (134),134,Highland Creek (134),-79.1845214962234,43.7862739913207,-8814780.61164374,5432426.94338111
9194,GO-20161644098,9/13/2016 4:00:00 AM,2016,September,Tuesday,13,257,9,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,20,D55,"Private Property Structure (Pool, Shed, Detached Garage)",Other,GARY FISHER,HARD TAIL,MT,0,BLU,1800,STOLEN,B&E,062,East End-Danforth (62),062,East End-Danforth (62),-79.2932126543586,43.6815893338752,-8826880.05600603,5416298.89625967
9195,GO-20161644098,9/13/2016 4:00:00 AM,2016,September,Tuesday,13,257,9,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,20,D55,"Private Property Structure (Pool, Shed, Detached Garage)",Other,OT,,MT,16,BLK,3500,STOLEN,B&E,062,East End-Danforth (62),062,East End-Danforth (62),-79.2932126543586,43.6815893338752,-8826880.05600603,5416298.89625967
9196,GO-20161644098,9/13/2016 4:00:00 AM,2016,September,Tuesday,13,257,9,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,20,D55,"Private Property Structure (Pool, Shed, Detached Garage)",Other,OT,TIAGRA,RC,16,BLK,2500,STOLEN,B&E,062,East End-Danforth (62),062,East End-Danforth (62),-79.2932126543586,43.6815893338752,-8826880.05600603,5416298.89625967
9197,GO-20161615608,9/10/2016 4:00:00 AM,2016,September,Saturday,10,254,0,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,11,D53,"Private Property Structure (Pool, Shed, Detached Garage)",Other,ROCKY MOUNTAIN,CRT003-10,MT,10,BLK,750,STOLEN,THEFT UNDER - BICYCLE,103,Lawrence Park South (103),103,Lawrence Park South (103),-79.4203172099759,43.7131495704222,-8841029.27045746,5421158.19784041
9198,GO-20161636623,9/14/2016 4:00:00 AM,2016,September,Wednesday,14,258,2,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,20,D12,"Single Home, House (Attach Garage, Cottage, Mobile)",House,CCM,,OT,0,ONG,200,STOLEN,THEFT OVER,023,Pelmo Park-Humberlea (23),023,Pelmo Park-Humberlea (23),-79.5284859361092,43.7105380401478,-8853070.55795554,5420756.00579527
9199,GO-20169010496,9/14/2016 4:00:00 AM,2016,September,Wednesday,14,258,22,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,15,D54,"Single Home, House (Attach Garage, Cottage, Mobile)",House,TR,,RG,18,BGE,400,STOLEN,THEFT UNDER,067,Playter Estates-Danforth (67),067,Playter Estates-Danforth (67),-79.3547262957657,43.6815661648695,-8833727.72331031,5416295.32988849
9200,GO-20161644809,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,22,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,22,D32,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OTHER,ENCORE AMP,BM,1,BLK,450,STOLEN,ROBBERY - MUGGING,039,Bedford Park-Nortown (39),039,Bedford Park-Nortown (39),-79.421902441819,43.7355098715723,-8841205.73767649,5424602.54270471
9201,GO-20161644098,9/13/2016 4:00:00 AM,2016,September,Tuesday,13,257,9,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,20,D55,"Private Property Structure (Pool, Shed, Detached Garage)",Other,OTHER,SOFT TAIL,MT,0,BLU,3000,STOLEN,B&E,062,East End-Danforth (62),062,East End-Danforth (62),-79.2932126543586,43.6815893338752,-8826880.05600603,5416298.89625967
9202,GO-20169010504,9/12/2016 4:00:00 AM,2016,September,Monday,12,256,18,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,21,D53,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,TR,2012 7.0 FX,RG,21,GRY,560,STOLEN,THEFT UNDER - BICYCLE,174,South Eglinton-Davisville (174),104,Mount Pleasant West (104),-79.3919197579293,43.7055550201157,-8837868.08056099,5419988.63799289
9203,GO-20169010513,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,8,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,20,D32,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,SIRRUS,RG,9,BLK,800,STOLEN,THEFT UNDER,153,Avondale (153),051,Willowdale East (51),-79.4107230044246,43.7607224878778,-8839961.24833097,5428487.7964715
9204,GO-20169010508,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,6,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,22,D53,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,OT,,MT,21,WHI,0,STOLEN,THEFT UNDER - BICYCLE,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),-79.3846230509524,43.6718093111782,-8837055.81485328,5414793.59363982
9205,GO-20169010501,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,7,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,20,D52,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,CA,,RC,21,BLK,1600,STOLEN,THEFT FROM MOTOR VEHICLE UNDER,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),-79.3825454421903,43.640602779351,-8836824.53647734,5409992.04653031
9206,GO-20169010503,9/14/2016 4:00:00 AM,2016,September,Wednesday,14,258,18,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,19,D55,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,TR,7.2 FX,RG,8,BLU,644.090026855469,STOLEN,THEFT UNDER,062,East End-Danforth (62),062,East End-Danforth (62),-79.3008229510835,43.6852381281737,-8827727.23039286,5416860.56711203
9207,GO-20169010504,9/12/2016 4:00:00 AM,2016,September,Monday,12,256,18,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,21,D53,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,OT,2014 SILVERSTON,RC,20,WHI,1740,STOLEN,THEFT UNDER - BICYCLE,174,South Eglinton-Davisville (174),104,Mount Pleasant West (104),-79.3919197579293,43.7055550201157,-8837868.08056099,5419988.63799289
9208,GO-20169010569,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,19,9/16/2016 4:00:00 AM,2016,September,Friday,16,260,20,D53,"Apartment (Rooming House, Condo)",Apartment,RA,,RC,15,GRY,1000,STOLEN,THEFT UNDER - BICYCLE,098,Rosedale-Moore Park (98),098,Rosedale-Moore Park (98),-79.3801686555897,43.6745581136618,-8836559.95387009,5415216.65378407
9209,GO-20169010561,9/2/2016 4:00:00 AM,2016,September,Friday,2,246,16,9/16/2016 4:00:00 AM,2016,September,Friday,16,260,17,D43,"Other Non Commercial / Corporate Places (Non-Profit, Gov'T, Firehall)",Other,PE,URBANO,RG,6,BLU,0,STOLEN,THEFT UNDER - BICYCLE,140,Guildwood (140),140,Guildwood (140),-79.1894199994832,43.7549409990932,-8815325.91050335,5427596.72676366
9210,GO-20169010572,9/16/2016 4:00:00 AM,2016,September,Friday,16,260,18,9/16/2016 4:00:00 AM,2016,September,Friday,16,260,21,D53,"Bank And Other Financial Institutions (Money Mart, Tsx)",Commercial,TR,7.2 FX,MT,21,BLK,750,STOLEN,THEFT UNDER - BICYCLE,095,Annex (95),095,Annex (95),-79.3874030485952,43.6701046097676,-8837365.28281505,5414531.23788246
9211,GO-20169010537,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,9,9/16/2016 4:00:00 AM,2016,September,Friday,16,260,12,D52,"Open Areas (Lakes, Parks, Rivers)",Outside,RA,RUSH HOUR,RC,1,BLK,600,STOLEN,THEFT UNDER - BICYCLE,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3809129463861,43.6563247954285,-8836642.80785389,5412410.7794823
9212,GO-20161647903,9/12/2016 4:00:00 AM,2016,September,Monday,12,256,17,9/16/2016 4:00:00 AM,2016,September,Friday,16,260,12,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,FELT,V100,RC,8,GRYRED,1400,STOLEN,THEFT UNDER - BICYCLE,084,Little Portugal (84),084,Little Portugal (84),-79.4228296257221,43.6412456850773,-8841308.95132724,5410090.94114787
9213,GO-20169010550,9/16/2016 4:00:00 AM,2016,September,Friday,16,260,8,9/16/2016 4:00:00 AM,2016,September,Friday,16,260,15,D52,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,GI,FAST TRAC,RG,20,BLK,1500,STOLEN,THEFT UNDER - BICYCLE,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.3809129463861,43.6563247954285,-8836642.80785389,5412410.7794823
9214,GO-20169010516,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,0,9/16/2016 4:00:00 AM,2016,September,Friday,16,260,2,D51,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,OT,RIVERSPORT,RG,21,,470,STOLEN,THEFT UNDER - BICYCLE,073,Moss Park (73),073,Moss Park (73),-79.3674107540807,43.652404391508,-8835139.75071586,5411807.59096346
9215,GO-20161646492,9/16/2016 4:00:00 AM,2016,September,Friday,16,260,4,9/16/2016 4:00:00 AM,2016,September,Friday,16,260,9,D53,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,GARY FISHER,KAITAI,OT,24,WHIONG,800,STOLEN,THEFT UNDER - BICYCLE,174,South Eglinton-Davisville (174),104,Mount Pleasant West (104),-79.3961410585224,43.6961318344311,-8838337.99363879,5418537.67437284
9216,GO-20161648195,9/4/2016 4:00:00 AM,2016,September,Sunday,4,248,23,9/16/2016 4:00:00 AM,2016,September,Friday,16,260,13,D54,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,CCM,,OT,21,GRYWHI,778,STOLEN,THEFT UNDER - BICYCLE,059,Danforth East York (59),059,Danforth East York (59),-79.3255081361878,43.6908209160971,-8830475.17261719,5417720.01014666
9217,GO-20169010532,9/14/2016 4:00:00 AM,2016,September,Wednesday,14,258,15,9/16/2016 4:00:00 AM,2016,September,Friday,16,260,10,D14,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,SC,,MT,20,RED,431.630004882813,STOLEN,THEFT UNDER - BICYCLE,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.4000691333089,43.6444407835676,-8838775.26483628,5410582.44097329
9218,GO-20169010538,9/12/2016 4:00:00 AM,2016,September,Monday,12,256,9,9/16/2016 4:00:00 AM,2016,September,Friday,16,260,12,D14,"Single Home, House (Attach Garage, Cottage, Mobile)",House,UK,BEINN,TO,7,PNK,650,STOLEN,THEFT UNDER,080,Palmerston-Little Italy (80),080,Palmerston-Little Italy (80),-79.4239209253584,43.65413229999,-8841430.43417622,5412073.43996956
9219,GO-20161646679,9/16/2016 4:00:00 AM,2016,September,Friday,16,260,10,9/16/2016 4:00:00 AM,2016,September,Friday,16,260,10,D54,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,SCHWINN,SUSPEND,MT,21,BLU,,UNKNOWN,PROPERTY - FOUND,067,Playter Estates-Danforth (67),067,Playter Estates-Danforth (67),-79.3496099954168,43.6780083590635,-8833158.17928825,5415747.69822117
9220,GO-20161646838,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,0,9/16/2016 4:00:00 AM,2016,September,Friday,16,260,9,D11,"Single Home, House (Attach Garage, Cottage, Mobile)",House,ROCKY MOUNTAIN,,OT,0,,600,STOLEN,THEFT UNDER - BICYCLE,088,High Park North (88),088,High Park North (88),-79.4711550213236,43.6552530481518,-8846688.50969102,5412245.87785901
9221,GO-20169010526,9/16/2016 4:00:00 AM,2016,September,Friday,16,260,9,9/16/2016 4:00:00 AM,2016,September,Friday,16,260,9,D52,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,OT,WILLOW SINGLE S,RG,1,BLK,1000,STOLEN,THEFT UNDER - BICYCLE,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),-79.3867705476637,43.6677816070383,-8837294.8731258,5414173.7366182
9222,GO-20169010608,9/17/2016 4:00:00 AM,2016,September,Saturday,17,261,20,9/17/2016 4:00:00 AM,2016,September,Saturday,17,261,21,D31,Universities / Colleges,Educational,KO,MENS COMFORT BI,MT,24,BLK,1400,STOLEN,THEFT UNDER - BICYCLE,027,York University Heights (27),027,York University Heights (27),-79.5008508050741,43.7703691741278,-8849994.22924461,5429974.77986049
9223,GO-20169010578,9/17/2016 4:00:00 AM,2016,September,Saturday,17,261,3,9/17/2016 4:00:00 AM,2016,September,Saturday,17,261,3,D52,"Hospital / Institutions / Medical Facilities (Clinic, Dentist, Morgue)",Other,EM,,EL,32,BLK,1600,STOLEN,THEFT UNDER,170,Yonge-Bay Corridor (170),076,Bay Street Corridor (76),-79.3893446431875,43.6575806966845,-8837581.42007046,5412604.01939105
9224,GO-20169010580,9/16/2016 4:00:00 AM,2016,September,Friday,16,260,9,9/17/2016 4:00:00 AM,2016,September,Saturday,17,261,9,D32,Ttc Subway Station,Transit,TR,7.4 FX GRY 15,RG,40,GRY,750,STOLEN,THEFT UNDER - BICYCLE,036,Newtonbrook West (36),036,Newtonbrook West (36),-79.4159903445941,43.7816329965267,-8840547.60604893,5431711.33953729
9225,GO-20161656360,9/17/2016 4:00:00 AM,2016,September,Saturday,17,261,12,9/17/2016 4:00:00 AM,2016,September,Saturday,17,261,17,D32,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,BLATU,,EL,0,BLU,1000,STOLEN,THEFT OF EBIKE UNDER $5000,151,Yonge-Doris (151),051,Willowdale East (51),-79.4128324572567,43.7755353941288,-8840196.07156479,5430771.22276666
9226,GO-20161652816,9/17/2016 4:00:00 AM,2016,September,Saturday,17,261,0,9/17/2016 4:00:00 AM,2016,September,Saturday,17,261,3,D51,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,EMMO,SOHO,EL,1,BLK,1800,STOLEN,THEFT OF EBIKE UNDER $5000,073,Moss Park (73),073,Moss Park (73),-79.3734416516915,43.6572984964023,-8835811.10721024,5412560.5980591
9227,GO-20161654951,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,22,9/17/2016 4:00:00 AM,2016,September,Saturday,17,261,13,D52,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,OTHER,,OT,0,ONG,,STOLEN,THEFT UNDER - BICYCLE,165,Harbourfront-CityPlace (165),077,Waterfront Communities-The Island (77),-79.3918736360407,43.6376516767554,-8837862.94628344,5409538.10866851
9228,GO-20169010587,9/16/2016 4:00:00 AM,2016,September,Friday,16,260,22,9/17/2016 4:00:00 AM,2016,September,Saturday,17,261,12,D51,"Apartment (Rooming House, Condo)",Apartment,OT,BELLADONNA,RG,21,PLE,1000,STOLEN,THEFT UNDER - BICYCLE,072,Regent Park (72),072,Regent Park (72),-79.3581418628256,43.6591230982449,-8834107.94248952,5412841.34712337
9229,GO-20169010597,9/17/2016 4:00:00 AM,2016,September,Saturday,17,261,16,9/17/2016 4:00:00 AM,2016,September,Saturday,17,261,16,D52,"Apartment (Rooming House, Condo)",Apartment,OT,,RG,1,YEL,300,STOLEN,THEFT UNDER - BICYCLE,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),-79.3880949465886,43.6665341056378,-8837442.30454809,5413981.75670249
9230,GO-20169010600,9/9/2016 4:00:00 AM,2016,September,Friday,9,253,10,9/17/2016 4:00:00 AM,2016,September,Saturday,17,261,19,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,KO,ROVE AL,RG,8,BLU,1200,STOLEN,THEFT UNDER - BICYCLE,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.3951501356816,43.6454480845518,-8838227.68459502,5410737.39879536
9231,GO-20169010602,8/27/2016 4:00:00 AM,2016,August,Saturday,27,240,14,9/17/2016 4:00:00 AM,2016,September,Saturday,17,261,17,D14,"Streets, Roads, Highways (Bicycle Path, Private Road)",Outside,TR,MARLIN 5,MT,21,BLK,450,STOLEN,THEFT UNDER - BICYCLE,164,Wellington Place (164),077,Waterfront Communities-The Island (77),-79.4037183320925,43.6464649868082,-8839181.49181076,5410893.83621985
9232,GO-20169010606,9/15/2016 4:00:00 AM,2016,September,Thursday,15,259,12,9/17/2016 4:00:00 AM,2016,September,Saturday,17,261,20,D22,"Apartment (Rooming House, Condo)",Apartment,TR,HYBRID 7100,TO,21,BRN,700,STOLEN,THEFT UNDER,161,Humber Bay Shores (161),017,Mimico (includes Humber Bay Shores) (17),-79.4755534143924,43.6312685122686,-8847178.13656009,5408556.32788631
9233,GO-20169010605,9/10/2016 4:00:00 AM,2016,September,Saturday,10,254,21,9/17/2016 4:00:00 AM,2016,September,Saturday,17,261,23,D53,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,OT,,OT,1,CPR,663,STOLEN,THEFT UNDER - BICYCLE,096,Casa Loma (96),096,Casa Loma (96),-79.4023220527326,43.6887152335402,-8839026.05874348,5417395.84125779
9234,GO-20161656344,9/17/2016 4:00:00 AM,2016,September,Saturday,17,261,16,9/17/2016 4:00:00 AM,2016,September,Saturday,17,261,17,D51,"Parking Lots (Apt., Commercial Or Non-Commercial)",Outside,NAKAMURA,ROYAL M700C,MT,21,BLK,250,STOLEN,THEFT UNDER - BICYCLE,167,Church-Wellesley (167),075,Church-Yonge Corridor (75),-79.3845627472281,43.6649204040241,-8837049.10184271,5413733.42745007
9235,GO-20169010616,9/17/2016 4:00:00 AM,2016,September,Saturday,17,261,21,9/17/2016 4:00:00 AM,2016,September,Saturday,17,261,23,D53,"Apartment (Rooming House, Condo)",Apartment,SU,,RG,5,CPR,500,STOLEN,THEFT UNDER - BICYCLE,102,Forest Hill North (102),102,Forest Hill North (102),-79.4239487064069,43.7056992701535,-8841433.526743,5420010.85109612
9236,GO-20169010631,9/11/2016 4:00:00 AM,2016,September,Sunday,11,255,11,9/18/2016 4:00:00 AM,2016,September,Sunday,18,262,12,D51,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,GT,GIANT,RG,18,WHI,600,STOLEN,THEFT UNDER - BICYCLE,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),-79.3758612492946,43.6549468940506,-8836080.45551621,5412198.77279375
9237,GO-20161661882,9/14/2016 4:00:00 AM,2016,September,Wednesday,14,258,14,9/18/2016 4:00:00 AM,2016,September,Sunday,18,262,16,D23,"Single Home, House (Attach Garage, Cottage, Mobile)",House,TREK,TREK MT 60,MT,6,BLU,350,STOLEN,THEFT UNDER - BICYCLE,006,Kingsview Village-The Westway (6),006,Kingsview Village-The Westway (6),-79.5522168449437,43.6987257671244,-8855712.27066148,5418937.06032026
9238,GO-20161661686,9/18/2016 4:00:00 AM,2016,September,Sunday,18,262,12,9/18/2016 4:00:00 AM,2016,September,Sunday,18,262,16,D53,"Single Home, House (Attach Garage, Cottage, Mobile)",House,LOUIS GARNEAU,STELLA,RG,7,BLKPNK,250,STOLEN,THEFT UNDER - BICYCLE,041,Bridle Path-Sunnybrook-York Mills (41),041,Bridle Path-Sunnybrook-York Mills (41),-79.3887227531268,43.7237815902278,-8837512.19159233,5422795.77674105
9239,GO-20161661185,9/18/2016 4:00:00 AM,2016,September,Sunday,18,262,13,9/18/2016 4:00:00 AM,2016,September,Sunday,18,262,14,D32,"Other Commercial / Corporate Places (For Profit, Warehouse, Corp. Bldg",Commercial,SPECIALIZED,GLOBE,OT,0,,0,STOLEN,THEFT UNDER - BICYCLE,036,Newtonbrook West (36),036,Newtonbrook West (36),-79.4194171294819,43.7954764142091,-8840929.07389886,5433846.04711119
